,daysOnMovoto,listDate,listingAgent,listPrice,lotSize,sqftTotal,mlsNumber,bath,bed,officeListName,propertyType,yearBuilt,zipCode,path,status,houseRealStatus,createdAt,onMarketDateTime,priceRaw,geo.state,geo.city,geo.zipcode,geo.address
1645,44,2021-02-25 00:00:00,Jonathan Iddings,898000,18962,1164,421522942,2,1,Corcoran Global Living,CONDO,2002,94107,san-francisco-ca/77-dow-pl-710-san-francisco-ca-94107/pid_8lwyoad48g/for-sale/,Pending,PENDING,2021-03-19 07:36:14,2021-02-25 00:00:00,898000,CA,San Francisco,94107,77 Dow Pl #710
1646,45,2021-03-18 00:00:00,Marcus Lee,1850000,2250,2717,421529179,4,6,Compass,MULTI_FAMILY,1908,94122,san-francisco-ca/1239-19th-ave-apt-2-san-francisco-ca-94122-110_421529179/for-sale/,Pending,PENDING,2021-03-19 02:06:13,2021-03-18 00:00:00,1850000,CA,San Francisco,94122,1239 19th Ave #2
1647,45,2021-03-18 00:00:00,Brandon Chen,1095000,1500,2054,421529862,4,5,Compass,SINGLE_FAMILY_HOUSE,1999,94124,san-francisco-ca/56-bitting-ave-san-francisco-ca-94124/pid_qsezoad48g/for-sale/,Pending,PENDING,2021-03-18 23:46:37,2021-03-18 00:00:00,1095000,CA,San Francisco,94124,56 Bitting Ave
1648,45,2020-11-10 00:00:00,Michael Shaw,3850000,3974,3920,421529373,4,4,Vanguard Properties,SINGLE_FAMILY_HOUSE,1996,94114,san-francisco-ca/11-clarendon-ave-san-francisco-ca-94114/pid_qw9xoad48g/for-sale/,Pending,PENDING,2021-03-18 23:41:34,2020-11-10 00:00:00,3850000,CA,San Francisco,94114,11 Clarendon Ave
1649,45,2021-02-22 00:00:00,Melanie Leung,649000,5444,543,421524540,1,1,Sequoia Real Estate,CONDO,2016,94107,san-francisco-ca/236-shipley-street-apt-303-san-francisco-ca-94107-110_447105/for-sale/,Pending,PENDING,2021-03-18 23:36:25,2021-02-22 00:00:00,649000,CA,San Francisco,94107,236 Shipley St #303
1651,45,2021-03-18 00:00:00,Ruth Krishnan,1795000,4155,0,421528973,3,4,Compass SF,SINGLE_FAMILY_HOUSE,1953,94115,san-francisco-ca/25-anzavista-ave-san-francisco-ca-94115/pid_dj3woad48g/for-sale/,Pending,PENDING,2021-03-18 20:36:44,2021-03-18 00:00:00,1795000,CA,San Francisco,94115,25 Anzavista Ave
1652,45,2021-03-18 12:47:09,Bing Jiang,1329000,2997,1400,ML81834738,2,3,Goodview Financial & R.E.,SINGLE_FAMILY_HOUSE,1906,94116,san-francisco-ca/2519-27th-ave-san-francisco-ca-94116-110_432070/for-sale/,Pending,PENDING,2021-03-18 19:52:39,2021-03-18 12:47:09,1329000,CA,San Francisco,94116,2519 27th Ave
1655,45,2020-12-12 00:00:00,Yvonne Toracca,895000,4990,936,511507,1,2,Sotheby's International Realty,SINGLE_FAMILY_HOUSE,1917,94124,san-francisco-ca/43-carr-st-san-francisco-ca-94124/pid_mvezoad48g/for-sale/,Active Under Contract,PENDING,2021-03-18 07:36:14,2020-12-12 00:00:00,895000,CA,San Francisco,94124,43 Carr St
1656,45,2021-03-17 00:00:00,Steven Crane,1595000,1600,1525,421529394,2,4,Morley Fredericks Real Estate Services,MULTI_FAMILY,1915,94114,san-francisco-ca/4101-23rd-st-apt-2-san-francisco-ca-94114-110_421529394/for-sale/,Pending,PENDING,2021-03-18 07:16:12,2021-03-17 00:00:00,1595000,CA,San Francisco,94114,4101 23rd St #2
1657,46,2021-03-17 00:00:00,Aaron Bellings,798000,2374,840,421527516,1,2,Compass,CONDO,1922,94118,san-francisco-ca/1409-anza-st-san-francisco-ca-94118-110_421527516/for-sale/,Pending,PENDING,2021-03-18 02:46:21,2021-03-17 00:00:00,798000,CA,San Francisco,94118,1409 Anza St
