,closePrice,daysOnMovoto,id,tnImgPath,listDate,listingAgent,listPrice,lotSize,sqftTotal,mlsDbNumber,mlsNumber,bath,bed,openHouses,officeListName,photoCount,propertyType,propertyTypeDisplayName,yearBuilt,zipCode,path,status,houseRealStatus,priceChange,propertyId,visibility,soldDate,createdAt,imageDownloaderStatus,onMarketDateTime,virtualTourLink,nhsDetails,isNHS,isSold,listingByMovoto,priceRaw,isVideoTour,is3DTour,videoTourLink,mls.dateHidden,mls.id,geo.state,geo.city,geo.lat,geo.lng,geo.zipcode,geo.subPremise,geo.address,virtualLink,address,nhsBuilderName,nhsBuilderId,nhsListingType,nhsMarketName,nhsMarketId,nhsPlanName,nhsCommunityName,nhsCommunityId,longitude,latitude,activeUnderContract
957,,99,3bcefb9b-1318-42c9-a07e-1663607437cd,https://pi.movoto.com/p/102/513789_0_bqMUNa_p.jpeg,,Donald Plunkett,835000,0.0,950.0,102,513789,2.0,2.0,[],"Congress Realty, Inc.",25,CONDO,Condominium,2002.0,94132,san-francisco-ca/8100-oceanview-ter-224-san-francisco-ca-94132/pid_qrb0oad48g/for-sale/,Active,ACTIVE,,f83e377a-769a-4791-abfe-d9e7922eee5c,NO_RESTRICTION,,2021-01-23 17:59:33,7,2021-01-23 17:59:33,,,False,False,False,835000,False,False,,,102,CA,San Francisco,37.7105,-122.467775,94132,APT 224,8100 Oceanview Ter #224,,,,,,,,,,,,,
958,,99,dd7c7302-99b0-42f6-aa9a-e77c040f8757,https://pi.movoto.com/p/110/512207_0_FBffIi_p.jpeg,2021-01-14 00:00:00,Donna Sullivan,948000,0.0,806.0,110,512207,1.0,1.0,[],Corcoran Global Living,29,CONDO,Condominium,1909.0,94104,san-francisco-ca/201-sansome-st-604-san-francisco-ca-94104/pid_g7ewoad48g/for-sale/,Active,ACTIVE,-40000.0,0cd00683-e85d-42c3-8367-68e996c7fcce,NO_RESTRICTION,,2021-01-23 16:11:22,7,2021-01-14 00:00:00,Http://201Sansome.com,,False,False,False,948000,False,True,,,110,CA,San Francisco,37.792231,-122.401228,94104,APT 604,201 Sansome St #604,Http://201Sansome.com,,,,,,,,,,,,
959,,100,51f0ba17-596b-4654-b9c6-56dd157bd385,https://pi.movoto.com/p/100/ML81826917_0_ziAmrN_p.jpeg,2021-01-22 18:02:26,Henry Chu,550000,,544.0,100,ML81826917,1.0,,[],Golden Gate Sotheby's International Realty,31,CONDO,Condominium,2018.0,94103,san-francisco-ca/1075-market-st-apt-301-san-francisco-ca-94103-110_464751/for-sale/,Active,ACTIVE,-49000.0,735d5405-5293-4bd8-b6e2-72c5d26c95bb,NO_RESTRICTION,,2021-01-23 02:07:39,7,2021-01-22 18:02:26,,,False,False,False,550000,False,False,,,100,CA,San Francisco,37.780644,-122.411615,94103,APT 301,1075 Market St #301,,,,,,,,,,,,,
960,,100,654cb7c9-1857-40a2-bc4b-c64c508533ff,https://pi.movoto.com/p/110/512596_0_EJqvMj_p.jpeg,2021-01-18 00:00:00,Vi Pavlicevich,1718000,122891.0,1372.0,110,512596,2.0,2.0,[],Skybox Realty,23,CONDO,Condominium,2012.0,94158,san-francisco-ca/435-china-basin-street-544-san-francisco-ca-94158-110_440079/for-sale/,Active,ACTIVE,68000.0,da975d27-d398-4ee7-a70b-cba8ec5b4cfb,NO_RESTRICTION,,2021-01-22 22:06:40,7,2021-01-18 00:00:00,,,False,False,False,1718000,False,False,,,110,CA,San Francisco,37.771838,-122.38861,94158,APT 544,435 China Basin St #544,,,,,,,,,,,,,
961,,100,3332431e-160a-461b-9f08-f5fc97f1863d,https://pi.movoto.com/p/110/513035_0_FEAnAq_p.jpeg,2021-01-22 00:00:00,Kristin Evans,6895000,0.0,2559.0,110,513035,3.0,3.0,[],Polaris Pacific,11,CONDO,Condominium,,94105,san-francisco-ca/75-howard-st-apt-806-san-francisco-ca-94105-110_513035/for-sale/,Active,ACTIVE,,1666acc4-ee05-455c-b05d-50c9fe1fac2e,NO_RESTRICTION,,2021-01-22 19:21:43,7,2021-01-22 00:00:00,,,False,False,False,6895000,False,False,,,110,CA,San Francisco,37.791597,-122.391595,94105,APT 806,75 Howard St #806,,,,,,,,,,,,,
962,,100,f3564a32-cc3d-45a7-bf55-9162245b49dd,https://pi.movoto.com/p/110/513030_0_FEAnAq_p.jpeg,2021-01-22 00:00:00,Kristin Evans,4895000,0.0,1674.0,110,513030,3.0,2.0,[],Polaris Pacific,11,CONDO,Condominium,,94105,san-francisco-ca/75-howard-st-apt-1702-san-francisco-ca-94105-110_513030/for-sale/,Active,ACTIVE,,e97f0fa1-0805-4c3e-bc4a-cfeb9587ba3f,NO_RESTRICTION,,2021-01-22 18:51:41,7,2021-01-22 00:00:00,,,False,False,False,4895000,False,False,,,110,CA,San Francisco,37.791597,-122.391595,94105,APT 1702,75 Howard St #1702,,,,,,,,,,,,,
963,,100,eadbede1-2aa1-4d96-955d-c7b787e6c705,https://pi.movoto.com/p/110/512726_0_FEAnAq_p.jpeg,2021-01-22 00:00:00,Kristin Evans,4029000,0.0,1589.0,110,512726,2.0,2.0,[],Polaris Pacific,11,CONDO,Condominium,,94105,san-francisco-ca/75-howard-st-apt-703-san-francisco-ca-94105-110_512726/for-sale/,Active,ACTIVE,,f6b5b8f8-4ad7-4af8-9934-7fb2ea9c5f72,NO_RESTRICTION,,2021-01-22 18:46:35,7,2021-01-22 00:00:00,,,False,False,False,4029000,False,False,,,110,CA,San Francisco,37.791597,-122.391595,94105,APT 703,75 Howard St #703,,,,,,,,,,,,,
964,,100,459d5df1-cadc-4b81-b695-b66a7a94e027,https://pi.movoto.com/p/110/513025_0_EFbQRV_p.jpeg,2021-01-22 00:00:00,Kristin Evans,2395000,0.0,1405.0,110,513025,2.0,1.0,[],Polaris Pacific,10,CONDO,Condominium,,94105,san-francisco-ca/75-howard-st-apt-503-san-francisco-ca-94105-110_513025/for-sale/,Active,ACTIVE,,1f323cc4-253b-4a26-9cd3-d7b18e9818a1,NO_RESTRICTION,,2021-01-22 18:21:37,7,2021-01-22 00:00:00,,,False,False,False,2395000,False,False,,,110,CA,San Francisco,37.791597,-122.391595,94105,APT 503,75 Howard St #503,,,,,,,,,,,,,
965,,100,fdecea2d-ab42-43c7-9cc8-2f9585f55877,https://pi.movoto.com/p/110/512593_0_z3VJrI_p.jpeg,2021-01-19 00:00:00,Michael Broermann,525000,0.0,752.0,110,512593,1.0,2.0,[],Group MB,22,CONDO,Condominium,2001.0,94107,san-francisco-ca/855-folsom-st-742-san-francisco-ca-94107-110_431823/for-sale/,Active,ACTIVE,-25000.0,66c17d66-9ad7-440d-87f5-d2c77be75347,NO_RESTRICTION,,2021-01-22 17:11:32,7,2021-01-19 00:00:00,,,False,False,False,525000,False,False,,,110,CA,San Francisco,37.780774,-122.402163,94107,APT 742,855 Folsom St #742,,,,,,,,,,,,,
966,,100,bfe908cb-2274-472a-a99c-a1f834a444f8,https://pi.movoto.com/p/110/512287_0_reEZQ7_t.jpeg,2021-01-22 00:00:00,Jorge Koon,2950000,0.0,0.0,110,512287,3.0,3.0,[],Prime Meridian Realty & Mortgage,17,CONDO,Condo/Coop/TIC/Loft,1984.0,94121,san-francisco-ca/340-25th-ave-apt-a-san-francisco-ca-94121-110_512287/for-sale/,Active,ACTIVE,,14da61d4-81a0-46c6-9bd7-90e223f4a91b,NO_RESTRICTION,,2021-01-22 16:56:25,0,2021-01-22 00:00:00,Https://www.34025thave.com/unit-a,,False,False,False,2950000,False,True,,,110,CA,San Francisco,37.783138,-122.484629,94121,APT A,340 25th Ave #A,Https://www.34025thave.com/unit-a,,,,,,,,,,,,
